입출금구분,계좌주,금융기관,계좌번호,거래일자,거래시간,거래종류,취급점,임금적요,입금액,출금적요,출금액,거래후잔액,상대은행,상대예금주,상대계좌번호,단말번호,IP주소,MAC주소,비고1,비고2
출금,황미경019,카카오뱅크,139-319-3119,2024-07-03,23:57:14,이체,종로지점,,0,생활비,666342,3392325,국민은행,송우진001,121-301-3101,ATM2436,203.0.113.49,3C:8B:BE:D3:08:A8,,
출금,황미경035,농협,155-335-3135,2024-08-30,16:33:22,이체,강남지점,,0,생활비,718133,9940356,하나은행,류하준018,138-318-3118,ATM3817,203.0.113.4,DD:C4:BE:C3:64:5B,,
출금,설진우045,우리은행,165-345-3145,2024-03-20,09:12:46,이체,역삼지점,,0,생활비,557276,6480050,하나은행,전성호004,124-304-3104,ATM3100,203.0.113.83,7B:2E:8D:07:78:1B,,
출금,박민수,우리은행,102-202-3002,2024-08-10,00:22:56,이체,역삼지점,,0,상납,5000000,1906661,신한은행,이영희,101-201-3001,ATM4105,203.0.113.73,14:44:CA:D7:A9:10,,
출금,전성호052,우리은행,172-352-3152,2024-07-15,17:23:01,이체,여의도지점,,0,생활비,349501,12837677,국민은행,차미래071,191-371-3171,ATM7299,203.0.113.69,F4:55:CD:9E:F2:39,,
출금,마준호043,국민은행,163-343-3143,2024-07-22,02:28:08,이체,여의도지점,,0,생활비,472250,6038926,하나은행,남지연032,152-332-3132,ATM8795,203.0.113.243,73:AC:A4:9E:36:93,,
출금,도하린058,신한은행,178-358-3158,2024-10-02,16:04:26,이체,강남지점,,0,생활비,135335,8876194,농협,안채원014,134-314-3114,ATM3765,203.0.113.190,FA:E1:70:97:E4:ED,,
출금,류하준050,국민은행,170-350-3150,2024-06-30,07:30:31,이체,여의도지점,,0,생활비,463354,11471311,토스뱅크,설진우013,133-313-3113,ATM9609,203.0.113.66,47:8E:FB:36:D7:93,,
출금,이영희,신한은행,101-201-3001,2024-02-19,10:26:57,이체,강남지점,,0,최종상납,10000000,8475133,국민은행,김철수,100-200-3000,ATM3460,203.0.113.7,C3:F4:13:94:52:4D,,
출금,남지연032,하나은행,152-332-3132,2024-03-25,23:48:13,이체,강남지점,,0,생활비,74153,9696747,신한은행,류하준002,122-302-3102,ATM6815,203.0.113.240,18:F1:FE:7C:07:AF,,
출금,마준호011,하나은행,131-311-3111,2024-03-24,22:46:07,이체,강남지점,,0,피해금,1000000,1965369,카카오뱅크,임수빈,111-211-3011,ATM8362,203.0.113.163,B9:2B:C4:51:C1:C2,,
출금,고은비005,카카오뱅크,125-305-3105,2024-06-03,07:18:19,이체,여의도지점,,0,생활비,673938,6161882,카카오뱅크,도하린026,146-326-3126,ATM9892,203.0.113.180,B6:D3:23:2F:F3:CE,,
출금,양준석070,농협,190-370-3170,2024-07-01,22:50:23,이체,역삼지점,,0,생활비,631759,10497240,하나은행,차미래039,159-339-3139,ATM7949,203.0.113.66,7E:A2:47:46:31:F7,,
출금,안채원014,농협,134-314-3114,2024-03-13,22:19:11,이체,종로지점,,0,생활비,255501,13062293,카카오뱅크,장도윤047,167-347-3147,ATM7362,203.0.113.98,0A:03:00:AA:FB:6C,,
출금,유태경040,카카오뱅크,160-340-3140,2024-01-14,18:31:55,이체,강남지점,,0,생활비,19334,4652800,우리은행,류하준066,186-366-3166,ATM1795,203.0.113.144,D7:65:7F:5D:6E:98,,
출금,유태경056,농협,176-356-3156,2024-02-19,02:45:42,이체,여의도지점,,0,생활비,389051,5724920,하나은행,남지연032,152-332-3132,ATM2122,203.0.113.109,02:CC:58:97:A6:36,,
출금,차미래023,신한은행,143-323-3123,2024-02-28,17:41:01,이체,강남지점,,0,생활비,166797,1700440,농협,차미래007,127-307-3107,ATM4124,203.0.113.16,A1:46:6F:34:B7:CE,,
출금,한지우,국민은행,107-207-3007,2024-06-09,19:19:55,이체,강남지점,,0,집금,1000000,6878441,우리은행,박민수,102-202-3002,ATM6954,203.0.113.172,2E:CB:47:78:39:3D,,
출금,서유진,우리은행,109-209-3009,2024-02-02,20:40:06,이체,강남지점,,0,집금,2500000,8102500,하나은행,최지훈,103-203-3003,ATM8077,203.0.113.207,0C:AB:80:7E:37:F2,,
출금,전성호052,우리은행,172-352-3152,2024-02-05,03:02:16,이체,종로지점,,0,생활비,333174,7426165,우리은행,장도윤031,151-331-3131,ATM7874,203.0.113.116,38:4A:C5:A7:F4:51,,
출금,고은비005,카카오뱅크,125-305-3105,2024-01-21,13:07:30,이체,종로지점,,0,생활비,48532,1285522,카카오뱅크,황미경019,139-319-3119,ATM4187,203.0.113.108,9E:87:B8:8C:F0:C8,,
출금,유태경072,신한은행,192-372-3172,2024-03-20,08:32:31,이체,역삼지점,,0,생활비,458341,3339611,우리은행,양준석038,158-338-3138,ATM6717,203.0.113.217,C0:A8:7C:4E:F5:C6,,
출금,송우진017,우리은행,137-317-3117,2024-08-22,22:17:18,이체,종로지점,,0,생활비,529053,3862848,농협,설진우077,197-377-3177,ATM4733,203.0.113.199,4A:9E:B0:E9:DB:FF,,
출금,류하준034,토스뱅크,154-334-3134,2024-07-08,13:02:09,이체,역삼지점,,0,생활비,476157,13039346,하나은행,전성호004,124-304-3104,ATM3015,203.0.113.14,D8:9F:14:E3:F8:51,,
출금,배성호,토스뱅크,112-212-3012,2024-07-16,09:29:38,이체,종로지점,,0,집금,1000000,11576728,하나은행,최지훈,103-203-3003,ATM8273,203.0.113.58,D0:94:DB:60:23:F3,,
출금,문재혁,국민은행,114-214-3014,2024-05-23,15:57:45,이체,역삼지점,,0,집금,1000000,169712,하나은행,최지훈,103-203-3003,ATM4212,203.0.113.252,CA:38:8E:FC:57:63,,
출금,노시우009,신한은행,129-309-3109,2024-02-19,03:46:14,이체,여의도지점,,0,피해금,3000000,3228618,하나은행,조현우,110-210-3010,ATM4164,203.0.113.135,7F:5B:D4:36:B7:EA,,
출금,도하린042,농협,162-342-3142,2024-05-02,13:35:36,이체,강남지점,,0,생활비,750187,7207891,국민은행,유태경008,128-308-3108,ATM6893,203.0.113.198,F2:95:26:D3:80:70,,
출금,변서연076,토스뱅크,196-376-3176,2024-02-18,14:09:14,이체,여의도지점,,0,생활비,226947,14830752,신한은행,유태경072,192-372-3172,ATM7532,203.0.113.126,1B:99:23:F7:2B:05,,
출금,권태영,우리은행,116-216-3016,2024-03-30,02:37:08,이체,강남지점,,0,집금,5000000,2187935,카카오뱅크,정하늘,104-204-3004,ATM5253,203.0.113.239,74:8C:62:0B:81:E8,,
출금,차미래007,농협,127-307-3107,2024-05-23,23:26:29,이체,역삼지점,,0,생활비,577953,7358041,농협,변서연028,148-328-3128,ATM5264,203.0.113.78,1A:26:58:3A:99:6B,,
출금,임수빈,카카오뱅크,111-211-3011,2024-08-24,22:36:48,이체,역삼지점,,0,집금,1000000,3392987,하나은행,최지훈,103-203-3003,ATM4047,203.0.113.214,C3:94:FB:15:9A:9B,,
출금,전성호036,국민은행,156-336-3136,2024-06-06,06:03:11,이체,여의도지점,,0,생활비,460514,825752,하나은행,류하준018,138-318-3118,ATM9931,203.0.113.20,70:F9:4F:5B:49:3E,,
출금,설진우077,농협,197-377-3177,2024-06-03,04:01:01,이체,역삼지점,,0,생활비,560663,3192113,우리은행,노시우073,193-373-3173,ATM7312,203.0.113.241,A9:1E:74:19:A2:47,,
출금,신소희,신한은행,115-215-3015,2024-08-23,21:55:27,이체,여의도지점,,0,집금,1000000,4523122,하나은행,최지훈,103-203-3003,ATM1334,203.0.113.179,F0:0B:A2:C1:C7:A5,,
출금,마준호043,국민은행,163-343-3143,2024-03-16,00:35:06,이체,강남지점,,0,생활비,118566,3287341,신한은행,남지연016,136-316-3116,ATM8149,203.0.113.133,6B:4E:B6:43:90:02,,
출금,남지연032,하나은행,152-332-3132,2024-08-26,08:49:13,이체,종로지점,,0,생활비,743429,1772752,카카오뱅크,고은비005,125-305-3105,ATM5636,203.0.113.153,40:D2:66:44:FD:1C,,
출금,송우진017,우리은행,137-317-3117,2024-04-11,20:40:59,이체,여의도지점,,0,생활비,777286,10783923,신한은행,장도윤079,199-379-3179,ATM7989,203.0.113.182,CA:F0:9A:1A:FF:F9,,
출금,도하린074,하나은행,194-374-3174,2024-05-02,08:40:46,이체,역삼지점,,0,생활비,49788,3173682,우리은행,황미경003,123-303-3103,ATM3606,203.0.113.226,C6:48:0C:A9:BA:BC,,
출금,장도윤031,우리은행,151-331-3131,2024-06-06,23:55:26,이체,종로지점,,0,생활비,580463,1160819,국민은행,차미래071,191-371-3171,ATM1688,203.0.113.54,94:66:1B:46:96:2D,,
출금,장도윤047,카카오뱅크,167-347-3147,2024-01-05,00:50:43,이체,역삼지점,,0,생활비,568508,13854607,우리은행,황미경003,123-303-3103,ATM1307,203.0.113.91,7E:C5:A4:0D:93:B5,,
출금,송우진049,농협,169-349-3149,2024-08-19,20:17:03,이체,강남지점,,0,생활비,658493,14258560,토스뱅크,설진우013,133-313-3113,ATM6933,203.0.113.158,FB:BB:6A:86:94:B7,,
출금,노시우041,토스뱅크,161-341-3141,2024-03-13,21:23:35,이체,종로지점,,0,생활비,736088,12510346,토스뱅크,고은비069,189-369-3169,ATM5494,203.0.113.92,A1:39:6C:3A:D7:0C,,
출금,고은비005,카카오뱅크,125-305-3105,2024-02-24,19:55:18,이체,여의도지점,,0,생활비,128680,5321032,농협,유태경056,176-356-3156,ATM1781,203.0.113.169,B6:5E:41:17:30:21,,
출금,남지연048,토스뱅크,168-348-3148,2024-06-03,19:31:23,이체,여의도지점,,0,생활비,539520,13415701,하나은행,류하준018,138-318-3118,ATM6654,203.0.113.188,E2:70:75:7C:94:6A,,
출금,고은비021,농협,141-321-3121,2024-10-04,21:13:50,이체,종로지점,,0,생활비,22608,12995475,카카오뱅크,황미경019,139-319-3119,ATM7682,203.0.113.213,83:89:43:C5:3E:6B,,
출금,변서연012,카카오뱅크,132-312-3112,2024-07-04,18:45:32,이체,강남지점,,0,생활비,248049,4793807,신한은행,노시우009,129-309-3109,ATM4161,203.0.113.54,79:38:BF:D7:D7:87,,
출금,남지연000,농협,120-300-3100,2024-08-14,15:57:42,이체,역삼지점,,0,생활비,791241,5985637,카카오뱅크,유태경040,160-340-3140,ATM1195,203.0.113.76,14:5B:A8:21:0D:A3,,
출금,노시우041,토스뱅크,161-341-3141,2024-05-31,05:44:29,이체,역삼지점,,0,생활비,440372,9604118,국민은행,송우진001,121-301-3101,ATM1385,203.0.113.177,96:6B:33:F9:D0:EC,,
출금,장도윤079,신한은행,199-379-3179,2024-03-01,20:15:28,이체,강남지점,,0,생활비,333575,7098785,토스뱅크,류하준034,154-334-3134,ATM6342,203.0.113.15,8E:55:6E:36:BF:D1,,
출금,류하준018,하나은행,138-318-3118,2024-02-25,22:07:48,이체,여의도지점,,0,생활비,263468,3142823,우리은행,마준호059,179-359-3159,ATM3986,203.0.113.102,9F:21:84:FB:A8:D7,,
출금,고은비005,카카오뱅크,125-305-3105,2024-08-17,04:19:44,이체,종로지점,,0,생활비,692493,13154709,국민은행,류하준050,170-350-3150,ATM7962,203.0.113.13,B8:F2:F8:51:93:F5,,
출금,설진우077,농협,197-377-3177,2024-10-01,03:20:00,이체,종로지점,,0,생활비,775212,13762151,토스뱅크,류하준034,154-334-3134,ATM4766,203.0.113.146,1C:79:AE:DE:0D:44,,
출금,도하린042,농협,162-342-3142,2024-03-05,05:35:22,이체,여의도지점,,0,생활비,791675,429923,하나은행,마준호011,131-311-3111,ATM6114,203.0.113.182,53:82:15:4E:A9:AF,,
출금,송우진049,농협,169-349-3149,2024-03-27,04:42:15,이체,종로지점,,0,생활비,753645,116538,신한은행,장도윤079,199-379-3179,ATM9031,203.0.113.215,2A:E3:7E:97:75:8D,,
출금,황미경051,신한은행,171-351-3151,2024-02-25,21:52:38,이체,여의도지점,,0,피해금,3000000,5542998,신한은행,강민재,108-208-3008,ATM9098,203.0.113.166,1F:2E:6F:47:00:4B,,
출금,최지훈,하나은행,103-203-3003,2024-06-03,21:35:55,이체,여의도지점,,0,상납,3000000,2869458,신한은행,이영희,101-201-3001,ATM8311,203.0.113.245,3B:F6:7B:7C:6C:57,,
출금,도하린074,하나은행,194-374-3174,2024-01-01,03:54:33,이체,강남지점,,0,생활비,130305,8521318,카카오뱅크,황미경019,139-319-3119,ATM9940,203.0.113.225,D4:3A:6D:4F:7D:BD,,
출금,도하린074,하나은행,194-374-3174,2024-06-30,06:28:47,이체,여의도지점,,0,생활비,155057,13257217,하나은행,노시우025,145-325-3125,ATM5157,203.0.113.225,0E:7A:F3:C7:EE:D6,,
출금,장도윤031,우리은행,151-331-3131,2024-01-05,20:00:30,이체,역삼지점,,0,생활비,756338,8378905,토스뱅크,양준석006,126-306-3106,ATM5662,203.0.113.158,98:8D:A0:EC:81:9E,,
출금,송우진049,농협,169-349-3149,2024-06-21,13:16:42,이체,강남지점,,0,생활비,53626,8921482,신한은행,송우진065,185-365-3165,ATM6501,203.0.113.70,3E:62:6F:64:DE:C8,,
출금,문재혁,국민은행,114-214-3014,2024-02-08,11:57:05,이체,종로지점,,0,집금,2500000,14186539,우리은행,박민수,102-202-3002,ATM9220,203.0.113.132,28:8D:74:32:3C:24,,
출금,안채원078,국민은행,198-378-3178,2024-02-14,02:33:00,이체,강남지점,,0,생활비,494461,12026052,신한은행,도하린058,178-358-3158,ATM7183,203.0.113.114,EB:96:63:C2:1A:87,,
출금,유태경008,국민은행,128-308-3108,2024-04-07,16:43:31,이체,역삼지점,,0,피해금,2000000,10335091,신한은행,신소희,115-215-3015,ATM5638,203.0.113.83,D1:A4:38:31:22:16,,
출금,변서연076,토스뱅크,196-376-3176,2024-04-24,18:18:47,이체,여의도지점,,0,생활비,304331,12088020,토스뱅크,양준석006,126-306-3106,ATM2227,203.0.113.112,48:40:56:EE:E3:43,,
출금,황미경067,하나은행,187-367-3167,2024-08-10,03:34:15,이체,여의도지점,,0,생활비,516638,6378641,카카오뱅크,전성호068,188-368-3168,ATM3365,203.0.113.190,BF:01:F7:D7:F7:21,,
출금,송우진065,신한은행,185-365-3165,2024-03-16,04:21:45,이체,종로지점,,0,생활비,747791,3851418,국민은행,류하준050,170-350-3150,ATM8991,203.0.113.178,D0:64:D7:CF:5A:FE,,
출금,황미경067,하나은행,187-367-3167,2024-05-07,09:06:31,이체,여의도지점,,0,생활비,392299,11796856,농협,차미래007,127-307-3107,ATM6781,203.0.113.80,D0:36:86:32:34:37,,
출금,박민수,우리은행,102-202-3002,2024-02-10,02:46:15,이체,강남지점,,0,상납,7500000,2820138,신한은행,이영희,101-201-3001,ATM1940,203.0.113.22,92:FC:05:D9:45:F5,,
출금,장도윤063,농협,183-363-3163,2024-04-29,22:18:12,이체,강남지점,,0,피해금,3000000,2033186,우리은행,서유진,109-209-3009,ATM1392,203.0.113.120,3C:6A:D4:D3:17:AA,,
출금,송우진017,우리은행,137-317-3117,2024-08-08,05:39:12,이체,강남지점,,0,생활비,591552,10382430,카카오뱅크,임수빈,111-211-3011,ATM2732,203.0.113.166,C1:E3:E7:A0:C5:84,,
출금,황미경003,우리은행,123-303-3103,2024-05-13,00:00:26,이체,강남지점,,0,생활비,720166,3551674,카카오뱅크,마준호075,195-375-3175,ATM9588,203.0.113.98,AB:8A:DA:CE:1B:57,,
출금,도하린042,농협,162-342-3142,2024-01-29,08:49:25,이체,강남지점,,0,피해금,500000,9163248,신한은행,강민재,108-208-3008,ATM8702,203.0.113.47,62:80:C3:06:3E:7F,,
출금,고은비005,카카오뱅크,125-305-3105,2024-02-03,01:51:01,이체,종로지점,,0,생활비,388770,14200834,우리은행,전성호052,172-352-3152,ATM7473,203.0.113.1,21:06:95:38:66:3E,,
출금,고은비069,토스뱅크,189-369-3169,2024-02-17,11:14:56,이체,역삼지점,,0,피해금,2000000,11178905,신한은행,신소희,115-215-3015,ATM6437,203.0.113.85,B8:96:6F:F3:04:3A,,
출금,남지연016,신한은행,136-316-3116,2024-08-29,04:17:57,이체,여의도지점,,0,생활비,34082,6518424,농협,변서연028,148-328-3128,ATM5172,203.0.113.25,5F:D3:32:6F:BA:B9,,
출금,차미래055,토스뱅크,175-355-3155,2024-05-19,04:47:00,이체,역삼지점,,0,생활비,270535,5066012,신한은행,황미경051,171-351-3151,ATM9396,203.0.113.180,2F:5F:96:5F:CF:DE,,
출금,문재혁,국민은행,114-214-3014,2024-07-04,00:28:09,이체,강남지점,,0,집금,5000000,12089761,카카오뱅크,정하늘,104-204-3004,ATM9476,203.0.113.242,23:2B:AD:A1:CD:54,,
출금,황미경019,카카오뱅크,139-319-3119,2024-02-29,01:20:36,이체,역삼지점,,0,피해금,500000,7446883,우리은행,서유진,109-209-3009,ATM5266,203.0.113.95,5E:69:11:A2:B0:4B,,
출금,도하린042,농협,162-342-3142,2024-06-13,05:05:40,이체,여의도지점,,0,생활비,596316,9832307,하나은행,변서연060,180-360-3160,ATM4793,203.0.113.58,C8:C4:17:7C:23:D7,,
출금,류하준002,신한은행,122-302-3102,2024-08-15,07:18:49,이체,종로지점,,0,생활비,688290,8493756,하나은행,노시우025,145-325-3125,ATM4666,203.0.113.253,C0:B9:D7:F7:00:EB,,
출금,설진우061,카카오뱅크,181-361-3161,2024-08-28,22:41:23,이체,역삼지점,,0,피해금,3000000,14346359,우리은행,서유진,109-209-3009,ATM7348,203.0.113.126,F2:46:53:62:73:10,,
출금,고은비037,신한은행,157-337-3137,2024-06-21,11:59:27,이체,역삼지점,,0,생활비,382922,2114034,우리은행,설진우045,165-345-3145,ATM7946,203.0.113.254,6D:68:BE:F7:D4:D4,,
