발신인,발신번호,착신인,착신번호,시작일자,시작시간,종료일자,종료시간,통화시간(분),업체명,발신위치,발신종료,비고1,비고2
류하준050,010-8050-1050,차미래023,010-8023-1023,2024-08-23,17:16:11,2024-08-23,17:17:08,0.96,LGU+,서울 영등포,서울 영등포,,
노시우073,010-8073-1073,유태경056,010-8056-1056,2024-01-26,02:40:25,2024-01-26,02:40:54,0.49,LGU+,대전 유성,대구 수성,,
송우진017,010-8017-1017,장도윤015,010-8015-1015,2024-04-25,22:18:00,2024-04-25,22:31:00,13.01,SKT,인천 부평,서울 영등포,,
노시우009,010-8009-1009,도하린042,010-8042-1042,2024-01-24,13:27:57,2024-01-24,13:29:01,1.07,KT,인천 부평,서울 서초,,
마준호059,010-8059-1059,남지연064,010-8064-1064,2024-02-02,16:49:32,2024-02-02,16:59:29,9.95,SKT,부산 해운대,수원 영통,,
류하준018,010-8018-1018,변서연076,010-8076-1076,2024-03-22,18:08:52,2024-03-22,18:23:20,14.47,LGU+,대구 수성,서울 서초,,
안채원062,010-8062-1062,설진우029,010-8029-1029,2024-03-20,05:06:37,2024-03-20,05:16:58,10.35,KT,서울 서초,대전 유성,,
송우진017,010-8017-1017,황미경051,010-8051-1051,2024-04-25,01:56:26,2024-04-25,02:11:57,15.53,LGU+,서울 서초,서울 서초,,
남지연048,010-8048-1048,배성호,010-1232-1112,2024-05-14,09:30:35,2024-05-14,09:38:33,7.97,KT,인천 부평,서울 영등포,,
황미경035,010-8035-1035,남지연016,010-8016-1016,2024-06-24,09:23:01,2024-06-24,09:23:55,0.9,SKT,대전 유성,인천 부평,,
임수빈,010-1221-1011,전성호036,010-8036-1036,2024-02-07,15:19:24,2024-02-07,15:35:06,15.71,SKT,서울 영등포,부산 해운대,,
남지연016,010-8016-1016,송우진001,010-8001-1001,2024-07-22,02:29:59,2024-07-22,02:40:39,10.68,KT,서울 영등포,부산 해운대,,
차미래007,010-8007-1007,황미경051,010-8051-1051,2024-10-06,13:02:47,2024-10-06,13:11:05,8.3,SKT,부산 해운대,인천 부평,,
류하준050,010-8050-1050,남지연048,010-8048-1048,2024-02-01,09:20:30,2024-02-01,09:31:20,10.84,SKT,수원 영통,서울 서초,,
조현우,010-1210-1010,양준석006,010-8006-1006,2024-02-21,13:21:45,2024-02-21,13:30:46,9.03,LGU+,서울 영등포,서울 강남,,
신소희,010-1265-1115,유태경072,010-8072-1072,2024-04-29,18:38:16,2024-04-29,18:45:21,7.09,SKT,부산 해운대,인천 부평,,
차미래055,010-8055-1055,설진우061,010-8061-1061,2024-01-16,17:51:54,2024-01-16,18:06:13,14.33,KT,대전 유성,서울 영등포,,
설진우077,010-8077-1077,류하준034,010-8034-1034,2024-01-05,14:47:19,2024-01-05,15:03:23,16.07,LGU+,서울 강남,수원 영통,,
김철수,010-1100-1000,이영희,010-1111-1101,2024-03-23,17:49:59,2024-03-23,18:00:00,10.02,SKT,대전 유성,수원 영통,,
황미경003,010-8003-1003,변서연012,010-8012-1012,2024-07-05,12:46:50,2024-07-05,12:47:58,1.14,SKT,부산 해운대,서울 영등포,,
신소희,010-1265-1015,노시우073,010-8073-1073,2024-03-07,18:54:31,2024-03-07,19:08:55,14.4,LGU+,서울 강남,서울 강남,,
노시우009,010-8009-1009,도하린010,010-8010-1010,2024-07-26,08:15:45,2024-07-26,08:21:41,5.94,SKT,대구 수성,수원 영통,,
도하린058,010-8058-1058,도하린010,010-8010-1010,2024-05-06,09:53:43,2024-05-06,10:05:38,11.92,SKT,서울 영등포,인천 부평,,
정하늘,010-1144-1004,신소희,010-1265-1015,2024-02-19,12:23:50,2024-02-19,12:41:36,17.78,LGU+,대전 유성,서울 영등포,,
설진우029,010-8029-1029,전성호068,010-8068-1068,2024-05-08,02:53:04,2024-05-08,03:04:41,11.63,LGU+,부산 해운대,서울 강남,,
도하린074,010-8074-1074,차미래039,010-8039-1039,2024-06-26,04:45:54,2024-06-26,04:46:30,0.61,KT,서울 서초,대전 유성,,
설진우061,010-8061-1061,장도윤047,010-8047-1047,2024-06-16,12:06:29,2024-06-16,12:23:48,17.33,KT,서울 강남,서울 강남,,
차미래055,010-8055-1055,송우진033,010-8033-1033,2024-06-23,01:39:37,2024-06-23,01:50:23,10.78,SKT,서울 강남,서울 서초,,
남지연000,010-8000-1000,도하린058,010-8058-1058,2024-06-29,12:22:51,2024-06-29,12:25:25,2.58,LGU+,수원 영통,서울 서초,,
류하준034,010-8034-1034,마준호075,010-8075-1075,2024-07-24,21:53:38,2024-07-24,21:54:33,0.93,KT,서울 서초,대구 수성,,
전성호068,010-8068-1068,황미경003,010-8003-1003,2024-08-19,11:32:19,2024-08-19,11:38:18,5.99,LGU+,대구 수성,대구 수성,,
유태경024,010-8024-1024,고은비037,010-8037-1037,2024-07-14,15:05:47,2024-07-14,15:06:36,0.82,LGU+,대구 수성,서울 영등포,,
고은비021,010-8021-1021,남지연032,010-8032-1032,2024-07-22,09:34:18,2024-07-22,09:40:08,5.84,LGU+,인천 부평,서울 서초,,
안채원046,010-8046-1046,송우진033,010-8033-1033,2024-07-05,07:20:34,2024-07-05,07:27:38,7.07,LGU+,서울 영등포,대전 유성,,
고은비069,010-8069-1069,전성호004,010-8004-1004,2024-02-07,19:38:02,2024-02-07,19:43:13,5.19,SKT,서울 서초,부산 해운대,,
노시우009,010-8009-1009,최지훈,010-1133-1003,2024-01-16,18:06:21,2024-01-16,18:20:35,14.24,SKT,서울 영등포,서울 강남,,
차미래039,010-8039-1039,장도윤015,010-8015-1015,2024-07-20,13:52:09,2024-07-20,13:54:29,2.34,LGU+,서울 서초,부산 해운대,,
설진우077,010-8077-1077,안채원078,010-8078-1078,2024-06-30,00:49:39,2024-06-30,01:03:53,14.24,LGU+,서울 영등포,서울 영등포,,
고은비053,010-8053-1053,송우진017,010-8017-1017,2024-10-05,03:26:29,2024-10-05,03:30:53,4.4,KT,인천 부평,대구 수성,,
류하준050,010-8050-1050,송우진017,010-8017-1017,2024-03-26,01:59:16,2024-03-26,02:01:25,2.15,SKT,부산 해운대,서울 서초,,
설진우013,010-8013-1013,장도윤079,010-8079-1079,2024-08-24,10:40:57,2024-08-24,10:45:25,4.48,LGU+,인천 부평,대구 수성,,
마준호075,010-8075-1075,안채원030,010-8030-1030,2024-10-06,21:04:26,2024-10-06,21:07:04,2.64,SKT,서울 서초,서울 서초,,
노시우025,010-8025-1025,안채원014,010-8014-1014,2024-07-04,07:29:20,2024-07-04,07:43:03,13.72,SKT,부산 해운대,수원 영통,,
차미래023,010-8023-1023,강민재,010-1188-1008,2024-01-03,22:53:30,2024-01-03,23:01:31,8.03,SKT,서울 서초,수원 영통,,
전성호052,010-8052-1052,차미래007,010-8007-1007,2024-06-14,08:43:20,2024-06-14,08:51:19,7.99,KT,대구 수성,대구 수성,,
전성호020,010-8020-1020,유태경072,010-8072-1072,2024-08-22,00:13:14,2024-08-22,00:25:17,12.05,LGU+,서울 영등포,서울 서초,,
설진우029,010-8029-1029,마준호011,010-8011-1011,2024-03-22,02:39:44,2024-03-22,02:50:08,10.4,KT,서울 서초,인천 부평,,
장도윤079,010-8079-1079,장도윤063,010-8063-1063,2024-06-23,12:50:48,2024-06-23,12:59:09,8.35,LGU+,대구 수성,부산 해운대,,
유태경056,010-8056-1056,전성호068,010-8068-1068,2024-03-09,04:38:18,2024-03-09,04:45:40,7.38,SKT,부산 해운대,대전 유성,,
노시우041,010-8041-1041,송우진033,010-8033-1033,2024-05-26,14:01:28,2024-05-26,14:12:43,11.26,LGU+,대구 수성,부산 해운대,,
이영희,010-1111-1201,김철수,010-1100-1100,2024-07-23,11:14:08,2024-07-23,11:23:47,9.66,SKT,서울 강남,서울 서초,,
박민수,010-1122-1002,신소희,010-1265-1015,2024-03-13,11:19:41,2024-03-13,11:32:33,12.87,KT,서울 영등포,서울 서초,,
송우진017,010-8017-1017,류하준034,010-8034-1034,2024-05-03,18:50:49,2024-05-03,18:57:05,6.28,LGU+,인천 부평,서울 강남,,
노시우073,010-8073-1073,양준석022,010-8022-1022,2024-03-16,22:21:53,2024-03-16,22:33:27,11.57,LGU+,서울 서초,부산 해운대,,
변서연076,010-8076-1076,양준석070,010-8070-1070,2024-04-26,18:01:34,2024-04-26,18:17:57,16.4,LGU+,대전 유성,서울 영등포,,
고은비053,010-8053-1053,류하준002,010-8002-1002,2024-05-25,17:47:31,2024-05-25,18:05:20,17.82,KT,서울 영등포,대구 수성,,
송우진033,010-8033-1033,설진우061,010-8061-1061,2024-04-27,15:42:46,2024-04-27,15:44:48,2.04,SKT,수원 영통,대전 유성,,
양준석022,010-8022-1022,변서연076,010-8076-1076,2024-09-09,16:27:06,2024-09-09,16:28:11,1.09,LGU+,부산 해운대,서울 서초,,
설진우077,010-8077-1077,전성호068,010-8068-1068,2024-08-12,15:52:46,2024-08-12,15:54:47,2.02,KT,서울 강남,대전 유성,,
남지연048,010-8048-1048,노시우009,010-8009-1009,2024-03-06,16:19:06,2024-03-06,16:22:06,3.0,SKT,서울 강남,대전 유성,,
노시우073,010-8073-1073,마준호043,010-8043-1043,2024-08-09,00:25:36,2024-08-09,00:31:35,5.99,LGU+,대구 수성,서울 강남,,
남지연016,010-8016-1016,도하린026,010-8026-1026,2024-04-25,18:28:10,2024-04-25,18:38:01,9.86,SKT,서울 서초,서울 영등포,,
고은비021,010-8021-1021,장도윤031,010-8031-1031,2024-01-21,04:51:23,2024-01-21,05:07:46,16.4,KT,대전 유성,서울 강남,,
안채원078,010-8078-1078,설진우013,010-8013-1013,2024-08-19,15:27:26,2024-08-19,15:40:32,13.1,KT,서울 강남,대전 유성,,
설진우013,010-8013-1013,전성호068,010-8068-1068,2024-01-27,01:12:19,2024-01-27,01:19:49,7.5,KT,서울 서초,대구 수성,,
전성호004,010-8004-1004,차미래023,010-8023-1023,2024-08-13,18:20:02,2024-08-13,18:30:26,10.41,SKT,서울 강남,인천 부평,,
마준호011,010-8011-1011,차미래007,010-8007-1007,2024-01-15,13:08:15,2024-01-15,13:23:49,15.57,KT,인천 부평,대구 수성,,
황미경067,010-8067-1067,마준호027,010-8027-1027,2024-02-05,22:12:15,2024-02-05,22:27:16,15.03,LGU+,서울 영등포,대구 수성,,
류하준066,010-8066-1066,고은비037,010-8037-1037,2024-07-06,18:24:40,2024-07-06,18:26:06,1.44,SKT,서울 영등포,대전 유성,,
유태경024,010-8024-1024,고은비053,010-8053-1053,2024-08-23,03:38:47,2024-08-23,03:46:12,7.42,KT,대구 수성,대구 수성,,
전성호020,010-8020-1020,황미경067,010-8067-1067,2024-07-30,21:13:27,2024-07-30,21:14:02,0.59,SKT,대전 유성,인천 부평,,
문재혁,010-1254-1114,송우진017,010-8017-1017,2024-04-09,12:35:32,2024-04-09,12:47:38,12.1,KT,수원 영통,대구 수성,,
송우진065,010-8065-1065,유태경008,010-8008-1008,2024-04-15,06:39:30,2024-04-15,06:39:57,0.45,KT,수원 영통,서울 강남,,
안채원062,010-8062-1062,도하린058,010-8058-1058,2024-07-08,08:27:21,2024-07-08,08:39:49,12.47,SKT,인천 부평,서울 영등포,,
도하린074,010-8074-1074,유태경056,010-8056-1056,2024-08-18,19:28:34,2024-08-18,19:30:28,1.91,SKT,부산 해운대,인천 부평,,
안채원030,010-8030-1030,장도윤079,010-8079-1079,2024-01-04,20:21:34,2024-01-04,20:22:11,0.62,KT,서울 서초,대전 유성,,
양준석022,010-8022-1022,유태경072,010-8072-1072,2024-01-17,03:21:22,2024-01-17,03:30:35,9.23,LGU+,서울 강남,서울 영등포,,
안채원030,010-8030-1030,오세진,010-1155-1205,2024-09-28,20:05:41,2024-09-28,20:06:42,1.02,KT,서울 강남,서울 서초,,
노시우073,010-8073-1073,고은비021,010-8021-1021,2024-04-23,22:14:21,2024-04-23,22:24:21,10.01,LGU+,대전 유성,서울 서초,,
신소희,010-1265-1015,설진우061,010-8061-1061,2024-02-01,02:17:24,2024-02-01,02:20:43,3.33,SKT,부산 해운대,서울 강남,,
최지훈,010-1133-1003,신소희,010-1265-1015,2024-04-02,17:18:20,2024-04-02,17:21:04,2.74,KT,인천 부평,인천 부평,,
전성호020,010-8020-1020,마준호043,010-8043-1043,2024-02-11,21:10:37,2024-02-11,21:12:38,2.02,SKT,대전 유성,서울 강남,,
고은비005,010-8005-1005,차미래039,010-8039-1039,2024-03-14,14:26:14,2024-03-14,14:41:43,15.49,KT,대구 수성,서울 강남,,
변서연028,010-8028-1028,도하린010,010-8010-1010,2024-10-04,17:23:03,2024-10-04,17:24:24,1.35,KT,서울 영등포,부산 해운대,,
양준석006,010-8006-1006,황미경003,010-8003-1003,2024-06-03,04:19:33,2024-06-03,04:37:03,17.51,KT,서울 영등포,서울 강남,,
고은비053,010-8053-1053,양준석070,010-8070-1070,2024-06-05,02:19:36,2024-06-05,02:21:00,1.41,KT,서울 영등포,대구 수성,,
강민재,010-1188-1008,윤다은,010-1166-1006,2024-01-15,05:17:44,2024-01-15,05:18:55,1.19,KT,대전 유성,서울 강남,,
황미경035,010-8035-1035,마준호059,010-8059-1059,2024-06-23,09:53:34,2024-06-23,10:04:51,11.29,KT,수원 영통,수원 영통,,
전성호004,010-8004-1004,전성호036,010-8036-1036,2024-01-21,16:03:46,2024-01-21,16:16:57,13.19,SKT,수원 영통,서울 서초,,
양준석070,010-8070-1070,장도윤015,010-8015-1015,2024-07-23,15:09:11,2024-07-23,15:19:15,10.07,LGU+,부산 해운대,서울 강남,,
조현우,010-1210-1210,도하린074,010-8074-1074,2024-09-07,02:57:32,2024-09-07,03:06:06,8.57,SKT,수원 영통,서울 영등포,,
배성호,010-1232-1212,남지연000,010-8000-1000,2024-08-06,02:18:52,2024-08-06,02:31:07,12.25,LGU+,수원 영통,부산 해운대,,
윤다은,010-1166-1106,노시우025,010-8025-1025,2024-06-09,11:12:47,2024-06-09,11:16:20,3.56,SKT,인천 부평,서울 서초,,
류하준002,010-8002-1002,고은비021,010-8021-1021,2024-07-10,19:43:24,2024-07-10,19:44:36,1.2,LGU+,대전 유성,서울 서초,,
양준석054,010-8054-1054,안채원030,010-8030-1030,2024-06-11,04:29:31,2024-06-11,04:39:47,10.28,KT,대구 수성,서울 서초,,
안채원014,010-8014-1014,노시우073,010-8073-1073,2024-04-05,12:02:03,2024-04-05,12:13:39,11.6,LGU+,대구 수성,서울 강남,,
홍예린,010-1243-1213,변서연060,010-8060-1060,2024-09-07,21:16:05,2024-09-07,21:27:59,11.91,KT,서울 영등포,대전 유성,,
설진우077,010-8077-1077,마준호043,010-8043-1043,2024-09-19,17:40:04,2024-09-19,17:52:04,12.0,KT,대전 유성,수원 영통,,
전성호036,010-8036-1036,도하린058,010-8058-1058,2024-07-18,00:37:19,2024-07-18,00:37:33,0.24,LGU+,수원 영통,서울 강남,,
노시우025,010-8025-1025,양준석022,010-8022-1022,2024-02-11,05:15:54,2024-02-11,05:20:21,4.46,SKT,부산 해운대,서울 영등포,,
설진우077,010-8077-1077,마준호011,010-8011-1011,2024-01-14,12:09:43,2024-01-14,12:18:28,8.75,KT,부산 해운대,서울 서초,,
황미경019,010-8019-1019,설진우029,010-8029-1029,2024-05-21,15:19:12,2024-05-21,15:33:49,14.62,SKT,서울 서초,부산 해운대,,
양준석022,010-8022-1022,도하린058,010-8058-1058,2024-10-04,05:41:20,2024-10-04,05:54:54,13.57,LGU+,서울 강남,서울 강남,,
김철수,010-1100-1100,황미경051,010-8051-1051,2024-08-30,18:33:25,2024-08-30,18:34:14,0.83,KT,서울 영등포,부산 해운대,,
장도윤031,010-8031-1031,황미경067,010-8067-1067,2024-05-20,14:42:12,2024-05-20,14:57:46,15.58,SKT,부산 해운대,대구 수성,,
안채원078,010-8078-1078,변서연060,010-8060-1060,2024-03-17,11:20:24,2024-03-17,11:21:28,1.07,LGU+,인천 부평,인천 부평,,
마준호043,010-8043-1043,차미래055,010-8055-1055,2024-03-15,05:53:21,2024-03-15,05:54:02,0.69,LGU+,인천 부평,수원 영통,,
노시우025,010-8025-1025,송우진049,010-8049-1049,2024-03-18,09:06:21,2024-03-18,09:15:25,9.07,SKT,수원 영통,대구 수성,,
이영희,010-1111-1001,김철수,010-1100-1000,2024-02-06,19:40:10,2024-02-06,19:50:14,10.08,SKT,서울 영등포,수원 영통,,
고은비053,010-8053-1053,안채원062,010-8062-1062,2024-01-09,03:30:55,2024-01-09,03:39:36,8.69,SKT,대전 유성,서울 영등포,,
변서연076,010-8076-1076,마준호059,010-8059-1059,2024-09-11,23:07:13,2024-09-11,23:16:33,9.34,KT,서울 영등포,부산 해운대,,
남지연048,010-8048-1048,한지우,010-1177-1207,2024-08-01,13:19:06,2024-08-01,13:24:37,5.53,KT,부산 해운대,부산 해운대,,
이영희,010-1111-1201,오세진,010-1155-1105,2024-06-06,19:47:52,2024-06-06,19:48:48,0.94,KT,수원 영통,서울 서초,,
도하린042,010-8042-1042,마준호027,010-8027-1027,2024-06-13,07:35:04,2024-06-13,07:42:37,7.56,LGU+,부산 해운대,부산 해운대,,
고은비069,010-8069-1069,노시우073,010-8073-1073,2024-04-25,05:57:10,2024-04-25,06:04:05,6.92,SKT,부산 해운대,부산 해운대,,
양준석054,010-8054-1054,장도윤031,010-8031-1031,2024-01-14,13:50:06,2024-01-14,13:57:47,7.69,LGU+,서울 영등포,인천 부평,,
장도윤031,010-8031-1031,양준석006,010-8006-1006,2024-06-25,03:44:03,2024-06-25,03:53:57,9.9,KT,부산 해운대,부산 해운대,,
마준호059,010-8059-1059,설진우077,010-8077-1077,2024-01-13,21:08:17,2024-01-13,21:25:24,17.12,LGU+,대전 유성,대전 유성,,
안채원062,010-8062-1062,고은비037,010-8037-1037,2024-03-12,04:01:19,2024-03-12,04:03:47,2.48,KT,서울 영등포,서울 서초,,
도하린042,010-8042-1042,고은비005,010-8005-1005,2024-07-15,13:37:35,2024-07-15,13:52:22,14.79,SKT,인천 부평,대전 유성,,
김철수,010-1100-1000,이영희,010-1111-1001,2024-01-17,10:04:32,2024-01-17,10:09:35,5.05,LGU+,수원 영통,부산 해운대,,
류하준066,010-8066-1066,변서연060,010-8060-1060,2024-03-25,13:31:57,2024-03-25,13:32:46,0.83,SKT,서울 영등포,서울 영등포,,
조현우,010-1210-1110,남지연016,010-8016-1016,2024-06-03,05:55:59,2024-06-03,06:11:53,15.9,SKT,대전 유성,인천 부평,,
박민수,010-1122-1202,문재혁,010-1254-1214,2024-08-12,14:33:33,2024-08-12,14:44:55,11.37,KT,대전 유성,인천 부평,,
배성호,010-1232-1112,오세진,010-1155-1105,2024-06-07,14:02:37,2024-06-07,14:03:17,0.67,SKT,서울 서초,인천 부평,,
변서연044,010-8044-1044,황미경003,010-8003-1003,2024-06-21,08:51:48,2024-06-21,09:02:51,11.05,SKT,대전 유성,대구 수성,,
조현우,010-1210-1110,노시우073,010-8073-1073,2024-06-12,18:38:49,2024-06-12,18:51:14,12.43,KT,부산 해운대,인천 부평,,
류하준018,010-8018-1018,장도윤079,010-8079-1079,2024-05-29,11:11:59,2024-05-29,11:16:45,4.78,SKT,대전 유성,서울 영등포,,
이영희,010-1111-1201,오세진,010-1155-1205,2024-07-07,15:35:33,2024-07-07,15:36:12,0.65,LGU+,대전 유성,대전 유성,,
도하린026,010-8026-1026,도하린058,010-8058-1058,2024-10-05,16:30:47,2024-10-05,16:31:21,0.57,SKT,서울 영등포,서울 영등포,,
송우진065,010-8065-1065,전성호052,010-8052-1052,2024-07-17,20:50:48,2024-07-17,20:53:28,2.67,SKT,서울 강남,수원 영통,,
한지우,010-1177-1207,윤다은,010-1166-1206,2024-08-22,20:01:03,2024-08-22,20:02:33,1.5,KT,대구 수성,서울 서초,,
장도윤015,010-8015-1015,차미래007,010-8007-1007,2024-02-01,10:06:54,2024-02-01,10:17:09,10.25,SKT,서울 강남,대전 유성,,
이영희,010-1111-1301,오세진,010-1155-1205,2024-08-14,09:55:37,2024-08-14,09:57:06,1.49,KT,서울 강남,서울 서초,,
송우진049,010-8049-1049,노시우057,010-8057-1057,2024-05-01,21:31:39,2024-05-01,21:36:54,5.25,LGU+,수원 영통,수원 영통,,
설진우061,010-8061-1061,설진우077,010-8077-1077,2024-09-08,21:39:46,2024-09-08,21:54:38,14.87,SKT,수원 영통,수원 영통,,
설진우013,010-8013-1013,마준호043,010-8043-1043,2024-08-21,00:54:10,2024-08-21,01:04:25,10.26,KT,대구 수성,대구 수성,,
윤다은,010-1166-1206,이영희,010-1111-1201,2024-07-28,20:09:04,2024-07-28,20:09:52,0.81,KT,대전 유성,대구 수성,,
마준호027,010-8027-1027,도하린026,010-8026-1026,2024-07-31,23:32:44,2024-07-31,23:50:03,17.32,KT,대구 수성,인천 부평,,
마준호043,010-8043-1043,안채원062,010-8062-1062,2024-08-12,07:48:27,2024-08-12,08:04:10,15.73,SKT,부산 해운대,서울 서초,,
유태경024,010-8024-1024,노시우009,010-8009-1009,2024-08-08,08:29:28,2024-08-08,08:45:35,16.12,LGU+,서울 영등포,대전 유성,,
유태경040,010-8040-1040,남지연032,010-8032-1032,2024-03-30,20:42:04,2024-03-30,20:49:19,7.26,KT,인천 부평,서울 서초,,
유태경056,010-8056-1056,황미경019,010-8019-1019,2024-05-06,11:15:15,2024-05-06,11:26:04,10.83,LGU+,서울 영등포,인천 부평,,
전성호004,010-8004-1004,송우진049,010-8049-1049,2024-02-04,07:27:39,2024-02-04,07:28:19,0.68,LGU+,서울 영등포,수원 영통,,
임수빈,010-1221-1011,황미경067,010-8067-1067,2024-02-02,08:45:36,2024-02-02,08:57:16,11.67,KT,수원 영통,대전 유성,,
노시우057,010-8057-1057,고은비037,010-8037-1037,2024-01-21,09:38:21,2024-01-21,09:46:36,8.25,LGU+,서울 영등포,서울 서초,,
양준석006,010-8006-1006,유태경040,010-8040-1040,2024-05-05,08:24:03,2024-05-05,08:24:22,0.33,KT,서울 영등포,서울 영등포,,
전성호020,010-8020-1020,송우진017,010-8017-1017,2024-09-28,22:58:19,2024-09-28,23:15:16,16.96,KT,서울 영등포,서울 영등포,,
노시우057,010-8057-1057,남지연000,010-8000-1000,2024-05-30,07:24:20,2024-05-30,07:24:42,0.37,LGU+,인천 부평,서울 강남,,
한지우,010-1177-1207,류하준034,010-8034-1034,2024-07-12,21:38:38,2024-07-12,21:40:18,1.67,SKT,부산 해운대,부산 해운대,,
도하린010,010-8010-1010,도하린074,010-8074-1074,2024-03-22,05:11:55,2024-03-22,05:18:52,6.96,SKT,서울 영등포,대전 유성,,
한지우,010-1177-1007,양준석038,010-8038-1038,2024-02-24,10:18:29,2024-02-24,10:36:17,17.81,LGU+,수원 영통,서울 영등포,,
남지연016,010-8016-1016,설진우013,010-8013-1013,2024-08-03,02:31:26,2024-08-03,02:41:31,10.09,SKT,대전 유성,서울 서초,,
강민재,010-1188-1108,설진우061,010-8061-1061,2024-04-25,05:28:04,2024-04-25,05:42:39,14.59,SKT,인천 부평,서울 강남,,
강민재,010-1188-1208,노시우073,010-8073-1073,2024-07-09,03:32:43,2024-07-09,03:49:02,16.33,SKT,부산 해운대,서울 강남,,
전성호068,010-8068-1068,남지연064,010-8064-1064,2024-01-09,15:46:25,2024-01-09,15:47:51,1.44,LGU+,서울 서초,수원 영통,,
문재혁,010-1254-1014,전성호004,010-8004-1004,2024-02-16,01:14:38,2024-02-16,01:19:21,4.72,LGU+,수원 영통,서울 강남,,
양준석070,010-8070-1070,고은비053,010-8053-1053,2024-01-01,15:12:11,2024-01-01,15:15:01,2.84,KT,대구 수성,인천 부평,,
송우진001,010-8001-1001,설진우029,010-8029-1029,2024-04-11,08:26:29,2024-04-11,08:27:15,0.77,LGU+,서울 서초,대구 수성,,
노시우009,010-8009-1009,서유진,010-1199-1209,2024-07-07,09:07:38,2024-07-07,09:24:00,16.37,KT,대구 수성,인천 부평,,
장도윤015,010-8015-1015,황미경035,010-8035-1035,2024-06-21,04:02:20,2024-06-21,04:15:02,12.71,LGU+,대구 수성,서울 강남,,
